"Incidence Rate of Tuberculosis per 100,000 Employed Persons by Branch of Economic Activity"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Incidence rate of tuberculosis, per 100,000 employed persons";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;102;..;124;..;87;..;80;..;..;..
"Incidence rate of tuberculosis, per 100,000 employed persons";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;348;..;49;..;145;..;..;..
"Incidence rate of tuberculosis, per 100,000 employed persons";"..Industry";..;..;..;..;..;..;..;..;..;..;..;..;..;..;164;..;153;..;147;..;113;..;..;..
"Incidence rate of tuberculosis, per 100,000 employed persons";"..Services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;69;..;94;..;62;..;60;..;..;..
"Total Cases of Tuberculosis";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;..;..;..;2921;..;4505;..;3670;..;3320;..;..;..
"Total Cases of Tuberculosis";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;560;..;103;..;200;..;..;..
"Total Cases of Tuberculosis";"..Industry";..;..;..;..;..;..;..;..;..;..;..;..;..;..;1625;..;1781;..;1901;..;1484;..;..;..
"Total Cases of Tuberculosis";"..Services";..;..;..;..;..;..;..;..;..;..;..;..;..;..;1295;..;2164;..;1671;..;1636;..;..;..
"Total Employed (000)";"TOTAL";..;..;..;..;..;..;..;..;2386;..;..;..;2918;..;2864;..;3624;..;4218;..;4156;..;..;..
"Total Employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;209;..;138;..;..;..
"Total Employed (000)";"..Industry";..;..;..;..;..;..;..;..;1051;..;..;..;1109;..;992;..;1164;..;1296;..;1313;..;..;..
"Total Employed (000)";"..Services";..;..;..;..;..;..;..;..;1335;..;..;..;1808;..;1872;..;2299;..;2712;..;2705;..;..;..
