"Incidence rate of fatal occupational injuries per 100,000 employed persons by branch of economic activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E9/0753K3E9010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Incidence rate of occupational injuries, fatalities per 100,000 employed persons";"TOTAL";..;..;..;..;..;9.5;..;11.8;7.1;..;..;..;4.0;..;3.9;..;4.4;..;6.4;..;3.8;..;..;..
"Incidence rate of occupational injuries, fatalities per 100,000 employed persons";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9.3;..;48.8;..;10.9;..;..;..
"Incidence rate of occupational injuries, fatalities per 100,000 employed persons";"..Industry";..;..;..;..;..;9.3;..;11.0;5.5;..;..;..;7.1;..;5.4;..;7.6;..;6.3;..;3.8;..;..;..
"Incidence rate of occupational injuries, fatalities per 100,000 employed persons";"..Services";..;..;..;..;..;9.7;..;12.5;8.4;..;..;..;2.0;..;3.2;..;2.4;..;3.2;..;3.4;..;..;..
"Total cases of fatal occupational injuries";"TOTAL";..;..;..;..;..;178;..;302;170;..;..;..;116;..;113;..;161;..;270;..;156;..;..;..
"Total cases of fatal occupational injuries";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;15;..;102;..;15;..;..;..
"Total cases of fatal occupational injuries";"..Industry";..;..;..;..;..;83;..;126;58;..;..;..;79;..;54;..;89;..;82;..;50;..;..;..
"Total cases of fatal occupational injuries";"..Services";..;..;..;..;..;96;..;176;112;..;..;..;36;..;59;..;56;..;86;..;91;..;..;..
"Total Employed (000)";"TOTAL";..;..;..;..;..;1879;..;2551;2386;..;..;..;2918;..;2864;..;3624;..;4218;..;4156;..;..;..
"Total Employed (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;209;..;138;..;..;..
"Total Employed (000)";"..Industry";..;..;..;..;..;892;..;1148;1051;..;..;..;1109;..;992;..;1164;..;1296;..;1313;..;..;..
"Total Employed (000)";"..Services";..;..;..;..;..;987;..;1403;1335;..;..;..;1808;..;1872;..;2299;..;2712;..;2705;..;..;..
